Study Hours,Sleep Hours,Last Exam,Internet Access,Academy,Family Income,CoCurricular,Stress Level,Health,Percentage
23.14,7.19,60.25,Yes,Yes,Moderate,High,Moderate,Average,76.52
14.57,7.42,94.97,Yes,Yes,High,Moderate,Moderate,Average,73.03
21.02,6.6,37.12,Yes,Yes,Low,Moderate,High,Average,54.43
17.17,7.6,59.75,Yes,Yes,Moderate,High,Moderate,Average,69.79
11.13,8.78,87.58,Yes,Yes,Low,Moderate,High,Good,63.93
17.17,7.85,64.45,Yes,No,High,Moderate,High,Poor,64.25
24.23,7.97,93.95,Yes,No,Moderate,Low,Moderate,Poor,99.21
14.79,7.35,47.32,Yes,Yes,Moderate,High,Moderate,Good,61.79
24.39,5.2,53.32,Yes,Yes,Moderate,Moderate,Low,Good,71.11
0.0,5.75,62.03,Yes,No,Moderate,Moderate,Low,Average,45.42
19.93,7.55,76.26,Yes,Yes,Low,Low,Moderate,Poor,74.83
15.52,6.99,66.67,Yes,Yes,Moderate,Moderate,Moderate,Good,75.29
13.21,7.53,62.64,Yes,No,High,Moderate,Low,Good,71.17
15.55,9.01,91.31,Yes,No,Low,Low,High,Average,67.14
3.07,7.87,92.7,Yes,Yes,Moderate,Moderate,High,Good,59.64
13.68,8.51,63.78,Yes,No,Moderate,Moderate,Moderate,Average,60.5
17.14,7.11,44.35,Yes,No,Moderate,Low,High,Average,59.98
23.87,6.03,37.64,Yes,Yes,Moderate,Moderate,Low,Good,76.72
11.89,6.93,73.59,Yes,Yes,Moderate,Low,Low,Average,57.84
10.15,6.03,79.84,No,Yes,Moderate,Moderate,High,Average,51.8
11.99,8.87,70.94,Yes,No,Moderate,Moderate,Moderate,Good,71.51
20.49,7.95,68.94,Yes,No,Moderate,Moderate,Moderate,Average,68.49
16.97,7.62,57.93,Yes,Yes,Moderate,Low,High,Average,61.49
11.82,8.48,79.82,Yes,No,Low,Low,Low,Average,57.14
18.08,4.58,95.17,Yes,No,Low,Moderate,Moderate,Poor,66.42
15.58,7.71,36.75,Yes,Yes,High,High,Moderate,Average,60.78
20.81,5.43,68.84,No,Yes,Low,High,High,Poor,53.65
10.79,6.99,55.44,Yes,No,Moderate,Moderate,Moderate,Average,53.59
13.03,6.63,47.64,Yes,Yes,Moderate,Low,Moderate,Poor,52.16
12.65,7.79,53.05,Yes,No,Low,Low,High,Average,43.59
6.22,7.27,75.7,No,Yes,Moderate,Moderate,Moderate,Good,59.31
16.78,8.61,76.07,Yes,Yes,Moderate,Low,Moderate,Average,79.24
16.57,6.28,91.9,Yes,No,High,Moderate,Moderate,Good,79.92
15.03,7.85,70.13,No,No,High,High,Moderate,Average,58.82
13.59,7.19,43.63,Yes,No,Low,Low,High,Good,44.58
6.51,5.04,66.43,Yes,Yes,Moderate,High,Low,Good,58.78
12.48,5.9,49.2,Yes,Yes,Moderate,Low,High,Average,42.24
12.94,6.82,51.9,Yes,Yes,High,Moderate,Moderate,Good,61.65
10.19,8.33,78.71,Yes,No,Moderate,Moderate,Low,Good,65.48
14.03,7.56,72.91,Yes,Yes,Moderate,Moderate,Moderate,Good,70.73
17.42,5.6,78.81,Yes,No,Moderate,High,Low,Good,76.62
26.32,6.83,64.64,Yes,Yes,Moderate,Moderate,Low,Poor,80.4
16.05,9.42,81.86,Yes,Yes,Moderate,Moderate,Moderate,Average,80.2
16.55,7.13,63.8,Yes,Yes,Low,Moderate,Low,Good,68.8
14.55,6.61,86.75,Yes,No,Moderate,Moderate,Moderate,Poor,74.72
3.49,7.59,75.17,Yes,Yes,Moderate,High,High,Average,58.0
14.84,7.92,66.9,Yes,Yes,Moderate,Moderate,Moderate,Average,69.49
15.36,6.45,73.18,Yes,Yes,Low,High,Moderate,Average,69.33
29.78,7.6,69.73,Yes,No,High,Moderate,Low,Average,91.48
13.85,6.61,93.94,Yes,No,High,Moderate,Moderate,Average,77.09
16.81,7.86,73.68,Yes,No,High,Low,High,Average,71.54
14.79,7.2,69.98,Yes,Yes,Moderate,Low,Moderate,Average,68.94
7.99,7.58,66.42,Yes,Yes,Moderate,Moderate,Low,Average,64.43
21.86,6.09,82.65,Yes,Yes,Low,Low,Moderate,Good,81.82
19.51,6.01,80.62,Yes,No,Moderate,Moderate,Low,Average,78.94
19.75,8.13,65.89,Yes,Yes,Moderate,Moderate,Moderate,Average,80.98
9.54,6.9,52.67,Yes,No,Moderate,Low,Moderate,Average,49.31
23.42,7.34,56.47,No,Yes,Moderate,Moderate,High,Average,63.92
6.59,6.63,67.24,Yes,No,Moderate,Moderate,Moderate,Average,53.57
18.52,8.08,90.23,Yes,Yes,Low,Low,Moderate,Average,81.72
28.14,6.27,66.25,Yes,Yes,High,Moderate,Low,Average,88.14
9.06,6.84,61.09,Yes,Yes,Moderate,Moderate,Low,Average,55.46
11.6,7.94,43.59,Yes,Yes,Low,Moderate,Low,Average,53.79
15.6,8.41,92.7,No,No,Moderate,Moderate,Low,Average,82.99
11.98,6.37,78.54,Yes,No,Low,Low,Moderate,Average,56.37
5.7,9.35,81.94,No,Yes,Low,Low,High,Average,43.21
15.41,7.38,84.43,Yes,Yes,Moderate,Moderate,Moderate,Good,69.81
8.63,5.75,67.53,Yes,Yes,Moderate,Moderate,Moderate,Good,50.81
17.84,7.44,71.27,Yes,Yes,Moderate,Moderate,Moderate,Good,69.74
9.48,6.54,92.33,Yes,Yes,Low,Moderate,Low,Average,64.29
24.3,7.52,72.69,Yes,Yes,Moderate,Moderate,Low,Good,86.47
10.3,6.95,78.81,Yes,No,High,Moderate,Low,Average,69.96
13.07,7.09,83.06,Yes,Yes,Moderate,High,Moderate,Poor,73.89
19.88,5.91,79.64,Yes,Yes,High,High,Low,Average,88.74
7.61,8.19,68.08,Yes,Yes,Moderate,Moderate,Moderate,Average,53.84
16.36,5.61,69.49,Yes,No,Moderate,Moderate,High,Average,57.46
22.84,5.67,81.66,Yes,Yes,Moderate,Moderate,Low,Average,96.53
5.36,7.44,81.64,Yes,Yes,High,Moderate,High,Average,49.52
16.11,8.92,87.52,Yes,Yes,Moderate,Moderate,Low,Good,89.81
16.56,6.58,78.27,Yes,No,High,Moderate,Moderate,Good,71.71
19.69,7.84,78.95,Yes,Yes,Moderate,Low,Low,Average,85.14
7.58,8.29,63.31,Yes,No,Low,Low,Low,Average,58.53
7.08,7.98,61.28,Yes,Yes,Low,Low,Low,Average,53.47
18.13,6.63,81.71,No,No,Low,Moderate,Low,Good,78.19
16.78,5.69,61.39,No,No,Low,Low,High,Average,66.56
16.5,4.35,69.69,Yes,No,Moderate,High,Moderate,Poor,53.71
17.08,6.68,90.69,Yes,No,Moderate,Moderate,Low,Good,87.29
10.92,8.41,88.31,Yes,Yes,Moderate,Low,Low,Average,78.71
16.39,5.65,74.53,Yes,Yes,Moderate,Moderate,Moderate,Good,64.41
16.76,7.84,65.56,Yes,No,High,Moderate,Moderate,Average,72.32
10.71,5.86,68.15,Yes,Yes,Low,Moderate,High,Poor,46.13
26.19,7.13,83.01,No,Yes,Low,Moderate,Moderate,Good,88.59
17.84,7.85,69.45,Yes,No,Moderate,Moderate,Moderate,Average,71.86
7.85,6.21,61.63,Yes,Yes,Low,Moderate,Low,Average,55.89
18.94,7.2,88.24,Yes,Yes,Low,Moderate,Low,Average,76.33
9.15,6.5,72.72,Yes,No,Moderate,Moderate,High,Average,63.39
19.72,7.85,61.34,Yes,No,Moderate,Moderate,Moderate,Average,71.33
21.95,7.28,77.18,Yes,No,High,Low,Moderate,Average,89.13
10.08,7.07,84.57,Yes,Yes,High,Moderate,Moderate,Good,74.02
20.78,8.87,54.88,Yes,Yes,Moderate,High,Moderate,Average,81.76
17.48,7.79,66.99,Yes,No,High,Moderate,Moderate,Good,75.26
19.93,6.17,66.3,Yes,No,Low,Moderate,Moderate,Average,72.71
26.38,6.9,76.78,Yes,Yes,High,High,Moderate,Average,86.78
13.53,6.91,79.48,Yes,No,Moderate,Moderate,Moderate,Average,71.7
10.48,7.1,61.73,Yes,Yes,High,Moderate,Moderate,Average,56.6
9.66,10.03,47.61,No,Yes,Low,Moderate,Moderate,Average,47.78
10.11,7.45,85.48,Yes,Yes,Moderate,Moderate,Moderate,Average,61.39
14.54,4.56,53.2,Yes,No,Moderate,Moderate,Moderate,Good,53.04
17.05,6.35,74.07,No,Yes,Moderate,Low,Low,Average,67.16
16.66,4.68,68.02,Yes,Yes,Low,Low,Moderate,Poor,59.7
19.96,6.6,72.44,Yes,No,Moderate,High,Moderate,Good,79.64
15.08,4.62,94.77,Yes,Yes,Low,Low,High,Average,62.97
23.72,5.95,100.0,No,Yes,Moderate,Low,Moderate,Average,88.28
13.41,5.18,45.5,Yes,Yes,Low,Low,Moderate,Average,50.06
31.32,7.46,84.76,Yes,Yes,Moderate,Moderate,Low,Average,99.64
18.75,7.0,67.66,Yes,Yes,Low,Moderate,Moderate,Good,69.86
9.86,7.36,85.72,Yes,No,Moderate,Moderate,Moderate,Average,62.63
8.57,6.87,84.36,Yes,Yes,High,Moderate,High,Average,72.16
17.89,5.33,91.15,Yes,No,High,Low,Moderate,Good,76.73
13.66,7.62,74.27,Yes,No,Low,Low,Moderate,Average,67.43
19.28,9.31,56.66,Yes,No,Low,Moderate,Low,Average,66.6
17.84,7.49,83.91,Yes,No,Low,Low,Moderate,Average,69.67
14.56,6.49,71.77,Yes,No,High,High,Moderate,Good,74.64
9.92,5.29,66.49,Yes,No,Low,Moderate,Low,Poor,52.41
5.91,5.91,62.86,Yes,Yes,Moderate,Moderate,High,Average,46.35
12.32,7.54,85.1,Yes,Yes,Low,Low,Moderate,Average,69.65
20.14,8.29,94.05,Yes,No,High,High,Moderate,Average,92.99
16.28,7.31,52.07,Yes,No,High,Moderate,Moderate,Average,66.57
7.53,7.96,79.33,Yes,Yes,Moderate,Moderate,Moderate,Good,61.74
16.04,7.85,64.41,Yes,No,High,Moderate,Moderate,Average,67.4
17.31,7.61,47.99,Yes,Yes,Moderate,High,Low,Average,67.88
9.7,6.21,72.22,No,Yes,Moderate,Low,Moderate,Average,59.26
15.92,7.21,57.5,Yes,Yes,Moderate,Low,Moderate,Poor,62.3
15.35,5.98,46.33,Yes,Yes,Low,Low,Moderate,Poor,48.86
8.14,7.02,58.27,Yes,Yes,Low,Moderate,Moderate,Average,50.07
17.15,7.4,54.58,Yes,Yes,Moderate,Low,Moderate,Good,61.54
18.36,9.01,60.3,Yes,Yes,Moderate,Moderate,Moderate,Average,70.67
21.5,5.43,50.11,Yes,Yes,Moderate,Moderate,Low,Good,69.58
21.32,7.58,64.07,Yes,No,Moderate,Moderate,Low,Average,80.67
6.73,8.78,59.3,No,Yes,Moderate,Moderate,Moderate,Poor,46.67
9.37,7.91,75.63,Yes,No,High,Moderate,Moderate,Average,69.7
18.09,8.0,78.9,Yes,No,Moderate,High,Low,Average,91.71
18.08,7.71,73.9,Yes,No,Moderate,Low,Moderate,Average,75.73
18.09,8.56,66.47,Yes,Yes,Low,Moderate,Moderate,Good,68.45
38.12,5.7,66.06,Yes,No,Low,Moderate,Moderate,Average,91.89
18.43,5.34,57.44,Yes,Yes,Low,Low,Low,Average,55.08
21.81,6.99,57.81,Yes,Yes,Low,Moderate,High,Good,77.35
20.72,4.41,80.55,Yes,No,Moderate,Moderate,Moderate,Average,84.7
18.91,8.48,43.6,Yes,No,Moderate,Moderate,Moderate,Good,61.4
13.11,8.46,68.79,Yes,Yes,Moderate,Low,Moderate,Average,63.36
19.55,6.48,65.15,Yes,Yes,Moderate,High,Moderate,Good,73.23
10.36,6.56,78.99,Yes,Yes,Moderate,Moderate,Moderate,Average,58.72
13.58,6.91,48.62,No,Yes,Low,Moderate,Moderate,Good,44.96
12.09,7.06,70.19,Yes,Yes,Moderate,Moderate,High,Average,63.18
15.49,7.15,75.14,No,No,Low,Low,High,Average,50.81
28.89,7.67,41.43,No,No,High,Low,Low,Average,76.7
3.8,6.79,53.89,Yes,No,Moderate,Low,Moderate,Average,36.57
19.12,8.13,68.62,Yes,Yes,High,Moderate,Moderate,Average,69.22
5.32,7.54,77.71,Yes,Yes,Low,High,Low,Good,58.52
12.17,6.27,72.74,Yes,Yes,High,Moderate,High,Good,57.49
21.53,8.6,78.41,Yes,No,High,Low,Low,Average,86.16
15.39,5.37,53.81,Yes,Yes,Moderate,Moderate,High,Average,57.28
8.53,6.89,46.17,Yes,No,Moderate,High,Moderate,Good,53.57
10.71,8.16,71.27,Yes,No,Low,Low,Moderate,Good,61.53
19.08,6.13,51.56,Yes,No,Moderate,Moderate,Moderate,Average,65.52
10.62,7.37,57.02,No,Yes,Moderate,Moderate,Moderate,Good,50.32
16.3,7.65,83.98,Yes,No,Moderate,Low,Moderate,Average,71.25
15.27,5.97,72.84,No,Yes,Low,Moderate,High,Good,57.22
11.09,6.91,61.48,Yes,Yes,Moderate,Low,Moderate,Average,49.39
27.86,6.81,59.53,Yes,Yes,Moderate,High,Moderate,Good,82.79
18.8,6.34,79.31,Yes,Yes,Moderate,High,High,Good,70.8
2.85,9.76,73.18,Yes,Yes,Low,Moderate,Moderate,Average,51.39
16.12,6.08,51.78,No,Yes,Moderate,Moderate,Low,Average,61.69
11.03,8.21,40.78,Yes,No,Low,Low,Moderate,Average,43.5
20.11,6.53,98.23,Yes,Yes,Moderate,Moderate,High,Average,76.42
10.24,5.7,51.66,Yes,No,Moderate,Low,Moderate,Average,47.83
14.31,7.12,77.92,Yes,No,Moderate,Moderate,Moderate,Average,65.32
18.03,7.78,92.66,No,Yes,Moderate,Low,Low,Average,76.68
20.19,8.1,72.21,Yes,Yes,High,Moderate,High,Average,84.6
7.8,8.87,60.99,Yes,Yes,High,Low,Moderate,Average,63.32
12.99,10.53,48.61,Yes,Yes,High,Low,Low,Poor,63.62
12.15,7.3,48.4,Yes,Yes,Low,Moderate,High,Average,45.19
11.08,6.2,75.65,Yes,Yes,Moderate,Moderate,Moderate,Good,62.82
25.59,7.54,91.76,Yes,Yes,Moderate,Moderate,Low,Average,91.52
17.43,6.68,64.07,Yes,No,High,Low,Low,Average,67.22
7.43,8.11,61.66,Yes,Yes,Low,Low,High,Average,45.9
20.51,5.44,80.46,Yes,No,High,Low,Moderate,Average,64.37
27.73,9.84,59.71,Yes,Yes,Moderate,Moderate,Moderate,Average,94.22
21.19,8.03,74.12,Yes,Yes,High,Low,Moderate,Average,83.88
5.88,4.98,70.63,Yes,Yes,Low,High,Moderate,Poor,40.72
12.09,6.15,63.86,Yes,No,Moderate,Moderate,Moderate,Good,66.94
22.6,7.98,69.77,Yes,No,Moderate,High,Moderate,Good,86.33
10.75,8.41,96.45,Yes,No,Moderate,High,Moderate,Average,77.72
17.66,5.47,79.07,Yes,Yes,Moderate,Moderate,Moderate,Average,70.25
19.65,7.86,86.39,Yes,No,High,Moderate,Moderate,Good,88.8
9.44,4.66,56.22,Yes,Yes,High,Moderate,High,Poor,35.67
14.64,6.89,86.44,Yes,Yes,Low,Moderate,High,Average,67.52
0.0,8.33,79.59,Yes,Yes,Moderate,Moderate,Moderate,Average,49.08
8.85,6.34,47.51,Yes,Yes,Moderate,Moderate,Low,Poor,51.46
13.48,5.19,78.1,Yes,No,High,Low,Low,Poor,61.91
7.51,7.18,62.3,Yes,No,Moderate,Moderate,High,Good,47.32
24.79,6.27,46.81,No,Yes,Moderate,High,Low,Average,78.11
6.42,7.76,71.95,No,No,Moderate,Moderate,Low,Average,58.95
12.36,5.94,78.09,Yes,Yes,Moderate,Moderate,Moderate,Average,68.37
15.78,6.07,72.27,Yes,Yes,Low,Moderate,High,Average,62.74
23.65,4.57,68.36,Yes,No,Moderate,Moderate,Low,Average,79.48
6.38,7.2,65.04,Yes,Yes,High,Low,Low,Average,56.34
21.98,6.81,100.0,Yes,No,Low,Moderate,High,Average,75.89
15.06,5.57,52.26,Yes,Yes,Moderate,Low,Moderate,Average,58.16
9.11,7.23,83.09,Yes,No,High,Low,Moderate,Good,58.3
17.77,8.23,70.23,Yes,No,Low,Moderate,High,Good,74.22
16.19,6.74,57.18,Yes,Yes,Low,Low,Low,Average,61.82
11.4,7.32,69.27,Yes,No,Moderate,High,Moderate,Average,61.17
15.42,7.33,49.11,Yes,No,High,High,High,Good,57.29
12.69,5.55,61.07,No,Yes,Moderate,Moderate,Moderate,Average,60.01
15.68,9.47,69.3,Yes,Yes,Moderate,High,Moderate,Average,77.83
18.97,6.43,46.73,Yes,No,Low,Moderate,Moderate,Average,59.0
24.52,7.79,77.6,Yes,Yes,High,Low,Low,Good,96.58
7.57,7.92,55.54,No,No,Moderate,Moderate,Low,Average,49.39
27.8,6.83,48.22,Yes,Yes,Moderate,Moderate,Moderate,Average,81.46
3.29,7.73,53.79,Yes,Yes,Moderate,Moderate,Low,Poor,41.62
14.09,7.29,100.0,Yes,No,Moderate,Moderate,Low,Average,79.37
18.53,5.3,40.33,Yes,Yes,Moderate,Low,Low,Average,62.2
16.69,6.6,76.54,No,Yes,Moderate,Moderate,Low,Average,63.5
11.26,6.26,58.73,Yes,Yes,High,Moderate,Moderate,Average,52.24
13.75,6.45,64.75,Yes,No,Low,Moderate,Low,Good,72.33
12.04,5.44,79.06,Yes,Yes,Moderate,Moderate,High,Poor,51.13
11.46,8.35,78.32,Yes,Yes,Moderate,Moderate,Moderate,Good,78.2
20.1,8.92,59.79,Yes,No,Low,Low,Moderate,Average,66.34
17.14,8.17,49.63,Yes,No,High,Moderate,Moderate,Good,62.79
10.84,8.52,79.33,Yes,Yes,Low,Low,High,Average,65.32
20.4,6.59,78.29,Yes,Yes,Low,Moderate,High,Poor,69.81
16.84,6.24,65.73,Yes,Yes,Low,Moderate,Low,Average,70.39
19.88,6.07,76.63,Yes,No,Low,Moderate,Moderate,Average,64.46
18.78,7.77,63.31,Yes,Yes,Low,Moderate,Low,Good,76.72
10.03,7.27,57.59,Yes,Yes,Moderate,Low,Low,Good,44.97
11.64,6.91,70.06,Yes,Yes,Moderate,Moderate,Low,Average,66.9
19.48,8.55,77.79,Yes,Yes,Low,High,Moderate,Average,74.27
18.66,7.49,74.64,No,No,High,High,Moderate,Average,81.48
14.87,5.99,77.64,Yes,Yes,Moderate,Moderate,Low,Average,75.84
15.7,6.18,58.59,Yes,Yes,Moderate,High,Moderate,Good,68.05
22.67,7.82,93.73,Yes,Yes,Low,Moderate,Moderate,Average,91.96
11.45,8.25,64.86,Yes,Yes,Moderate,Low,Moderate,Good,75.95
18.28,7.66,68.22,No,Yes,Low,Moderate,Moderate,Average,65.25
13.79,9.28,50.22,No,No,Low,High,Moderate,Average,56.19
13.69,8.96,67.09,Yes,Yes,Moderate,Moderate,Moderate,Average,61.28
21.59,7.53,77.98,Yes,Yes,Moderate,Low,Low,Good,81.81
19.95,5.99,81.44,Yes,Yes,Low,High,High,Average,67.71
19.88,5.43,93.43,No,Yes,Moderate,Moderate,Low,Good,83.23
22.83,6.54,77.8,Yes,No,Low,Low,Low,Good,83.02
15.13,7.9,74.15,Yes,No,Low,Moderate,Moderate,Good,65.19
19.09,9.19,63.31,Yes,No,Moderate,Low,Low,Average,75.93
13.14,7.5,60.07,Yes,Yes,Moderate,Low,Low,Average,68.24
16.94,8.4,84.55,No,Yes,High,Low,Moderate,Average,77.27
14.22,6.71,84.27,Yes,Yes,Moderate,Low,Moderate,Poor,71.56
15.58,7.75,53.84,Yes,No,Moderate,Moderate,Low,Average,55.09
18.57,7.99,80.85,Yes,Yes,Low,Low,Low,Good,72.67
10.09,4.62,79.76,Yes,Yes,Moderate,High,Moderate,Average,64.54
27.55,6.5,53.29,No,Yes,Low,Moderate,Moderate,Average,72.59
8.96,8.14,78.11,Yes,Yes,Moderate,Moderate,Low,Average,66.75
7.71,7.33,54.26,Yes,No,High,Low,Low,Poor,50.05
21.95,5.56,33.56,Yes,Yes,Moderate,High,Moderate,Good,59.7
19.75,4.08,67.6,Yes,Yes,Moderate,Moderate,Low,Average,62.49
18.74,6.56,73.87,Yes,Yes,Moderate,Moderate,Low,Average,81.13
18.77,6.91,68.27,Yes,No,Moderate,Low,Moderate,Average,74.4
14.93,5.94,100.0,Yes,Yes,Low,Low,Moderate,Average,69.66
9.62,7.17,75.68,Yes,Yes,Moderate,Moderate,Moderate,Average,51.03
15.45,7.61,72.21,Yes,No,Moderate,Moderate,Low,Good,73.08
10.94,7.8,76.44,Yes,Yes,Moderate,High,Moderate,Average,63.65
20.85,4.17,63.38,Yes,Yes,Moderate,High,Moderate,Average,74.29
14.12,5.42,83.94,Yes,No,Low,Low,Moderate,Average,57.73
10.05,6.63,75.42,Yes,Yes,High,High,Moderate,Average,69.75
13.07,7.69,74.73,No,Yes,Moderate,High,Moderate,Good,68.87
17.48,7.59,60.64,No,Yes,High,Moderate,Moderate,Average,73.65
11.62,7.57,46.54,Yes,Yes,High,Moderate,Low,Average,62.45
10.07,6.54,62.48,No,No,High,Low,Low,Average,52.91
16.46,6.61,74.24,Yes,No,Low,Low,Moderate,Poor,62.15
16.47,6.13,63.33,Yes,Yes,High,Low,Low,Good,73.11
11.96,7.92,74.38,Yes,No,Moderate,Moderate,Low,Average,59.33
12.17,5.9,66.51,Yes,No,Low,High,Moderate,Average,59.54
16.39,8.02,76.46,No,Yes,Low,Moderate,Moderate,Average,66.38
6.31,7.25,55.35,Yes,Yes,Moderate,Moderate,Low,Good,44.01
6.56,6.95,72.89,Yes,No,Low,Moderate,High,Good,42.29
10.69,6.21,60.39,Yes,Yes,Low,Moderate,High,Poor,41.55
13.72,5.37,46.93,Yes,Yes,High,Moderate,Moderate,Average,60.4
16.87,6.22,67.52,Yes,Yes,High,Low,Moderate,Good,69.32
23.85,6.6,93.04,Yes,Yes,Moderate,Moderate,High,Average,88.63
20.15,4.16,48.12,Yes,No,Low,Low,Moderate,Average,58.91
14.04,6.76,71.79,Yes,Yes,Low,Low,Moderate,Average,61.04
14.89,8.11,81.96,Yes,Yes,Moderate,Moderate,Moderate,Average,77.53
8.98,7.68,100.0,Yes,Yes,Moderate,Moderate,Moderate,Average,71.06
14.89,6.4,62.61,Yes,No,High,Moderate,Moderate,Average,60.18
13.27,7.06,60.52,Yes,Yes,High,Moderate,Moderate,Average,62.71
16.94,6.33,52.5,Yes,No,High,Low,Low,Average,60.91
10.04,7.18,87.11,Yes,Yes,Low,High,Moderate,Average,69.89
18.12,8.85,56.99,Yes,Yes,Low,Moderate,Moderate,Average,69.27
24.2,8.16,64.44,No,Yes,Low,High,High,Average,79.5
14.35,7.62,42.27,Yes,No,Low,Moderate,Moderate,Poor,46.84
17.41,6.41,83.26,Yes,Yes,Moderate,Low,Moderate,Average,75.93
19.14,7.9,87.37,Yes,No,High,High,Low,Average,89.42
12.59,4.98,82.69,No,Yes,Moderate,High,Low,Poor,64.63
16.34,6.7,45.92,Yes,No,High,Low,Low,Average,64.18
15.08,7.7,79.11,Yes,Yes,Low,Low,High,Average,60.38
